super 5.1.x	super 5.0.x	super 4.0.x	super 3.0
<key>DeadlineDaysSoft</key> <string>number</string>	<key>DeadlineDaysSoft</key> <string>number</string>	<key>DeadlineDaysSoft</key> <string>number</string>	<key>SoftDays</key> <string>number</string>
<key>DeadlineDaysHard</key> <string>number</string>	<key>DeadlineDaysHard</key> <string>number</string>	<key>DeadlineDaysHard</key> <string>number</string>	<key>HardDays</key> <string>number</string>
<key>DeadlineDateFocus</key> <string>YYYY-MM-DD:hh:mm</string>	<key>DeadlineDateFocus</key> <string>YYYY-MM-DD:hh:mm</string>	<key>DeadlineDateFocus</key> <string>YYYY-MM-DD:hh:mm</string>	<key>FocusDate</key> <string>YYYY-MM-DD:hh:mm</string>
<key>DeadlineDateSoft</key> <string>YYYY-MM-DD:hh:mm</string>	<key>DeadlineDateSoft</key> <string>YYYY-MM-DD:hh:mm</string>	<key>DeadlineDateSoft</key> <string>YYYY-MM-DD:hh:mm</string>	<key>SoftDate</key> <string>YYYY-MM-DD:hh:mm</string>
<key>DeadlineDateHard</key> <string>YYYY-MM-DD:hh:mm</string>	<key>DeadlineDateHard</key> <string>YYYY-MM-DD:hh:mm</string>	<key>DeadlineDateHard</key> <string>YYYY-MM-DD:hh:mm</string>	<key>HardDate</key> <string>YYYY-MM-DD:hh:mm</string>
<key>DialogTimeoutDefault</key> <string>seconds</string>	<key>DialogTimeoutDefault</key> <string>seconds</string>	<key>DialogTimeoutDefault</key> <string>seconds</string>	N/A
<key>DialogTimeoutUserAuth</key> <string>seconds</string>	<key>DialogTimeoutUserAuth</key> <string>seconds</string>	<key>DialogTimeoutUserAuth</key> <string>seconds</string>	<key>UserAuthTimeout</key> <string>seconds</string>
<key>DialogTimeoutUserChoice</key> <string>seconds</string>	<key>DialogTimeoutUserChoice</key> <string>seconds</string>	<key>DialogTimeoutRestartOrDefer</key> <string>seconds</string>	<key>DeferDialogTimeout</key> <string>seconds</string>
<key>DialogTimeoutUserSchedule</key> <string>seconds</string>	<key>DialogTimeoutUserSchedule</key> <string>seconds</string>	N/A	N/A
<key>DialogTimeoutSoftDeadline</key> <string>seconds</string>	<key>DialogTimeoutSoftDeadline</key> <string>seconds</string>	<key>DialogTimeoutSoftDeadline</key> <string>seconds</string>	<key>SoftDialogTimeout</key> <string>seconds</string>
<key>DialogTimeoutInsufficientStorage</key> <string>seconds</string>	<key>DialogTimeoutInsufficientStorage</key> <string>seconds</string>	<key>DialogTimeoutInsufficientStorage</key> <string>seconds</string>	<key>FreeSpaceTimeout</key> <string>seconds</string>
<key>DialogTimeoutPowerRequired</key> <string>seconds</string>	<key>DialogTimeoutPowerRequired</key> <string>seconds</string>	<key>DialogTimeoutPowerRequired</key> <string>seconds</string>	<key>BatteryTimeout</key> <string>seconds</string>
"<key>DisplayUnmovable</key> <string>ALWAYS,DIALOG,DEADLINE,SCHEDULED,INSTALLNOW,ERROR</string>"	"<key>DisplayUnmovable</key> <string>ALWAYS,DIALOG,DEADLINE,SCHEDULED,INSTALLNOW,ERROR</string>"	"<key>DisplayUnmovable</key> <string>ALWAYS,SOFT,HARD,INSTALLNOW,DEFER,USERAUTH,POWER,STORAGE</string>"	N/A
"<key>DisplayHideBackground</key> <string>ALWAYS,DIALOG,DEADLINE,SCHEDULED,INSTALLNOW,ERROR</string>"	"<key>DisplayHideBackground</key> <string>ALWAYS,DIALOG,DEADLINE,SCHEDULED,INSTALLNOW,ERROR</string>"	"<key>DisplayHideBackground</key> <string>ALWAYS,SOFT,HARD,INSTALLNOW,DEFER,USERAUTH,POWER</string>"	N/A
"<key>DisplaySilently</key> <string>ALWAYS,DIALOG,DEADLINE,SCHEDULED,INSTALLNOW,ERROR</string>"	"<key>DisplaySilently</key> <string>ALWAYS,DIALOG,DEADLINE,SCHEDULED,INSTALLNOW,ERROR</string>"	"<key>DisplaySilently</key> <string>ALWAYS,SOFT,HARD,INSTALLNOW,DEFER,USERAUTH,POWER,STORAGE</string>"	<key>DisplaySilently</key> <true/> | <false/>
"<key>DisplayHideProgressBar</key> <string>ALWAYS,DEADLINE,SCHEDULED,INSTALLNOW,ERROR</string>"	"<key>DisplayHideProgressBar</key> <string>ALWAYS,DEADLINE,SCHEDULED,INSTALLNOW,ERROR</string>"	N/A	N/A
"<key>DisplayNotificationsCentered</key> <string>ALWAYS,DEADLINE,SCHEDULED,INSTALLNOW,ERROR</string>"	"<key>DisplayNotificationsCentered</key> <string>ALWAYS,DEADLINE,SCHEDULED,INSTALLNOW,ERROR</string>"	"<key>DisplayNotificationsCentered</key> <string>ALWAYS,SOFT,HARD,INSTALLNOW</string>"	N/A
<key>DisplayIconSize</key> <string>pixels</string>	<key>DisplayIconSize</key> <string>pixels</string>	<key>DisplayIconSize</key> <string>pixels</string>	<key>IconSizeIbm</key> <string>pixels</string>
<key>DisplayIconFile</key> <string>path</string>	<key>DisplayIconFile</key> <string>path</string>	<key>DisplayIconFile</key> <string>path</string>	<key>DisplayIcon</key> <string>path</string>
<key>DisplayIconLightFile</key> <string>path</string>	<key>DisplayIconLightFile</key> <string>path</string>	N/A	N/A
<key>DisplayIconDarkFile</key> <string>path</string>	<key>DisplayIconDarkFile</key> <string>path</string>	N/A	N/A
<key>DisplayAccessoryType</key> <string>TEXTBOX|HTMLBOX|HTML|IMAGE|VIDEO|VIDEOAUTO</string>	<key>DisplayAccessoryType</key> <string>TEXTBOX|HTMLBOX|HTML|IMAGE|VIDEO|VIDEOAUTO</string>	<key>DisplayAccessoryType</key> <string>TEXTBOX|HTMLBOX|HTML|IMAGE|VIDEO|VIDEOAUTO</string>	<key>DisplayAccessoryType</key> <string>TEXTBOX|HTMLBOX|HTML|IMAGE|VIDEO|VIDEOAUTO</string>
